Significant	-Log(P-value)	Difference	PG.ProteinGroups	PG.Genes	Symbol color	Symbol type	Symbol size	Show label	[1] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz8_IT14_37black_1000pg_01.raw.PG.Quantity	[2] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz8_IT14_37black_1000pg_02.raw.PG.Quantity	[3] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz8_IT14_37black_1000pg_03.raw.PG.Quantity	[4] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz8_IT14_37black_1000pg_04.raw.PG.Quantity	[5] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz8_IT14_dYback_1000pg_02.raw.PG.Quantity	[6] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz8_IT14_dYblack_1000pg_01.raw.PG.Quantity	[7] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz8_IT14_dYblack_1000pg_03.raw.PG.Quantity	[8] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz8_IT14_dYblack_1000pg_04.raw.PG.Quantity	[9] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT40_37black_200pg_01.raw.PG.Quantity	[10] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT40_37black_200pg_02.raw.PG.Quantity	[11] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT40_37black_200pg_03.raw.PG.Quantity	[12] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT40_37black_200pg_04.raw.PG.Quantity	[13] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT40_dYback_200pg_02.raw.PG.Quantity	[14] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT40_dYblack_200pg_01.raw.PG.Quantity	[15] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT40_dYblack_200pg_03.raw.PG.Quantity	[16] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT40_dYblack_200pg_04.raw.PG.Quantity	[17] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_1pg_01.raw.PG.Quantity	[18] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_1pg_02.raw.PG.Quantity	[19] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_1pg_03.raw.PG.Quantity	[20] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_1pg_04.raw.PG.Quantity	[21] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_5pg_01.raw.PG.Quantity	[22] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_5pg_02.raw.PG.Quantity	[23] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_5pg_03.raw.PG.Quantity	[24] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_5pg_04.raw.PG.Quantity	[25] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_10pg_01.raw.PG.Quantity	[26] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_10pg_02.raw.PG.Quantity	[27] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_10pg_03.raw.PG.Quantity	[28] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_10pg_04.raw.PG.Quantity	[29] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_50pg_01.raw.PG.Quantity	[30] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_50pg_02.raw.PG.Quantity	[31] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_50pg_03.raw.PG.Quantity	[32] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_37black_50pg_04.raw.PG.Quantity	[33] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYback_1pg_02.raw.PG.Quantity	[34] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYback_5pg_02.raw.PG.Quantity	[35] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYback_10pg_02.raw.PG.Quantity	[36] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYback_50pg_02.raw.PG.Quantity	[37] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_1pg_01.raw.PG.Quantity	[38] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_1pg_03.raw.PG.Quantity	[39] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_1pg_04.raw.PG.Quantity	[40] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_5pg_01.raw.PG.Quantity	[41] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_5pg_03.raw.PG.Quantity	[42] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_5pg_04.raw.PG.Quantity	[43] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_10pg_01.raw.PG.Quantity	[44] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_10pg_03.raw.PG.Quantity	[45] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_10pg_04.raw.PG.Quantity	[46] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_50pg_01.raw.PG.Quantity	[47] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_50pg_03.raw.PG.Quantity	[48] 20251021_MM_Astral1_IO8_TE_TH106_50SPD_THIDTC_004_mz20_IT60_dYblack_50pg_04.raw.PG.Quantity
	0	NaN	O35025	ydiR	Color2 [DarkGray]	1	4		7.8922963142395	7.92497301101685	6.94696521759033	7.64447116851807	8.72891044616699	9.22210884094238	9.03384017944336	9.11631774902344	6.31953239440918	6.15152740478516	5.91357803344727	6.24498748779297	6.52833271026611	6.59225273132324	6.46929454803467	6.53616571426392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.50897002220154	4.34785747528076	3.01645946502686	4.13095283508301	NaN	NaN	NaN	5.66795778274536	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.65338373184204	5.81886100769043	5.75344753265381
	0	NaN	O35033	coaBC	Color2 [DarkGray]	1	4		NaN	2.02850437164307	NaN	1.86650729179382	1.93922626972198	2.78690576553345	2.18683099746704	3.68347406387329	NaN	NaN	NaN	NaN	3.78879189491272	3.32327008247375	2.20319581031799	3.18082737922668	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
+	4.87563467365918	-0.789521336555481	P02394	rplL	Color2 [DarkGray]	1	4		13.0991659164429	13.110179901123	13.0555686950684	13.0458135604858	13.6652593612671	13.7267427444458	13.7871379852295	13.7765159606934	11.3774394989014	11.2288036346436	11.2036390304565	11.3748769760132	11.859546661377	11.9213781356812	11.9252262115479	11.9425611495972	4.57133722305298	4.69618272781372	4.69542503356934	4.82583332061768	6.20886135101318	6.29627704620361	6.29679822921753	6.24806213378906	7.51353645324707	7.58268547058105	7.58683919906616	7.56818771362305	9.44025135040283	9.32124900817871	9.36199378967285	9.37408065795898	3.40100240707397	7.02753782272339	8.03611469268799	10.3722848892212	3.69235062599182	3.60438275337219	3.61128354072571	6.91599178314209	7.07093381881714	7.1936206817627	7.95089054107666	8.04726314544678	8.05972957611084	10.3318643569946	10.2329654693604	10.1449861526489
	0	NaN	P02958;P04831;P04832	sspC;sspA;sspB	Color2 [DarkGray]	1	4		6.0952205657959	5.91401386260986	5.7496976852417	6.08936262130737	8.44890785217285	8.58119583129883	8.42355918884277	8.5385103225708	3.74678158760071	4.13700771331787	3.91083359718323	3.47176122665405	5.94802379608154	6.56923341751099	6.17642450332642	6.47265577316284	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.40533328056335	4.51549434661865	NaN	NaN	NaN	NaN	NaN	NaN	2.82699847221375	2.58447194099426	2.71117615699768	4.29756307601929	3.93929219245911	4.27454566955566
	0	NaN	P02968	hag	Color2 [DarkGray]	1	4		4.48588514328003	4.38858127593994	4.62963151931763	4.3457407951355	5.42568922042847	5.68354558944702	5.43828248977661	4.90349340438843	1.62448787689209	1.61130940914154	1.6823525428772	2.14359331130981	3.0951886177063	3.4056031703949	3.86351537704468	3.67950201034546	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	P04990	thrC	Color2 [DarkGray]	1	4		7.26195669174194	6.89247703552246	6.92989873886108	6.77068614959717	6.16765213012695	6.23313426971436	6.28490209579468	6.13756847381592	5.05081415176392	4.60305738449097	4.22750806808472	5.93365859985352	4.5024676322937	4.79436111450195	4.08375978469849	4.48371458053589	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.41877603530884	4.10699844360352	4.36524343490601	4.73462200164795	NaN	NaN	NaN	3.57626295089722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.15765571594238	3.51135110855103	2.73433113098145
	0	NaN	P05648	dnaA	Color2 [DarkGray]	1	4		5.90523195266724	5.61020803451538	5.83982753753662	5.77138662338257	6.53245401382446	6.65743112564087	6.34222173690796	6.30933046340942	4.61834859848022	3.87645411491394	4.39331912994385	4.11869764328003	4.39678716659546	4.52410888671875	4.70679092407227	4.17712354660034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0.420015278075803	-0.181685209274292	P05649	dnaN	Color2 [DarkGray]	1	4		9.14915466308594	9.33072853088379	9.56333827972412	9.67284488677979	9.80180835723877	9.74222660064697	9.799391746521	9.60952758789063	7.65013885498047	7.49664497375488	7.4616003036499	7.80757188796997	7.38183307647705	7.20353317260742	7.55401563644409	7.33809328079224	1.87226724624634	NaN	2.33840250968933	NaN	4.58278512954712	4.61008882522583	4.68736124038696	3.94183540344238	5.7964129447937	5.51789617538452	5.75700712203979	5.81856632232666	6.55573749542236	6.72295188903809	6.82470750808716	6.69861793518066	NaN	4.39010000228882	5.69399118423462	5.17263221740723	NaN	NaN	NaN	4.76039552688599	4.69590663909912	4.70240926742554	5.87799167633057	6.0379753112793	5.23265027999878	4.90256786346436	5.14414405822754	5.04383325576782
	0	NaN	P05650	rlbA	Color2 [DarkGray]	1	4		3.95825266838074	3.76602721214294	4.05453014373779	4.38267421722412	5.35454845428467	5.22353887557983	5.22729969024658	5.11711263656616	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	P05652	gyrB	Color2 [DarkGray]	1	4		6.29309558868408	6.36128902435303	6.17417526245117	5.78772401809692	7.56166076660156	7.06469488143921	7.13844299316406	7.42933893203735	4.38321018218994	4.83064270019531	3.75327348709106	4.22578907012939	4.90734481811523	5.41379117965698	4.62004089355469	4.66418552398682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.24513244628906	2.58753108978271	2.58380818367004	2.69294905662537	NaN	NaN	NaN	3.23115181922913	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.63853001594543	4.18706560134888	4.43497133255005
