PG.ProteinGroups	PG.Genes	PG.Organisms	[1] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_0cell_P1.raw.PG.Quantity	[2] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_0cell_P2.raw.PG.Quantity	[3] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_0cell_P3.raw.PG.Quantity	[4] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_0cell_P4.raw.PG.Quantity	[5] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_st_P1O2.raw.PG.Quantity	[6] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_st_P2A1.raw.PG.Quantity	[7] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_st_P2B1.raw.PG.Quantity	[8] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_st_P2C1.raw.PG.Quantity	[9] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_st_P2D1.raw.PG.Quantity	[10] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_10bacillus_us_P1O4.raw.PG.Quantity	[11] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1A2.raw.PG.Quantity	[12] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1B2.raw.PG.Quantity	[13] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1C2.raw.PG.Quantity	[14] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1D2.raw.PG.Quantity	[15] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1E2.raw.PG.Quantity	[16] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1F2.raw.PG.Quantity	[17] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1G2.raw.PG.Quantity	[18] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1H2.raw.PG.Quantity	[19] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1I2.raw.PG.Quantity	[20] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1J2.raw.PG.Quantity	[21] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1K2.raw.PG.Quantity	[22] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1L2.raw.PG.Quantity	[23] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1M2.raw.PG.Quantity	[24] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P1N2.raw.PG.Quantity	[25] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2A2.raw.PG.Quantity	[26] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2B2.raw.PG.Quantity	[27] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2C2.raw.PG.Quantity	[28] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2D2.raw.PG.Quantity	[29] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2E2.raw.PG.Quantity	[30] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2F2.raw.PG.Quantity	[31] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2G2.raw.PG.Quantity	[32] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2H2.raw.PG.Quantity	[33] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2I2.raw.PG.Quantity	[34] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2J2.raw.PG.Quantity	[35] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2K2.raw.PG.Quantity	[36] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2L2.raw.PG.Quantity	[37] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2M2.raw.PG.Quantity	[38] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_st_P2N2.raw.PG.Quantity	[39] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1A4.raw.PG.Quantity	[40] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1B4.raw.PG.Quantity	[41] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1C4.raw.PG.Quantity	[42] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1D4.raw.PG.Quantity	[43] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1E4.raw.PG.Quantity	[44] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1F4.raw.PG.Quantity	[45] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1G4.raw.PG.Quantity	[46] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1H4.raw.PG.Quantity	[47] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1I4.raw.PG.Quantity	[48] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1J4.raw.PG.Quantity	[49] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1K4.raw.PG.Quantity	[50] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1L4.raw.PG.Quantity	[51] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1M4.raw.PG.Quantity	[52] 20250908_A1_Neo6_TH116_Ledolter_MS_TechHub_IMP_THIDTC003_bacillus_us_P1N4.raw.PG.Quantity
P21472	rpsL	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	77.82636260986328	81.06472778320312	81.4828872680664	52.408267974853516	100.8880615234375	29.791038513183594	NaN	NaN	NaN	6.091962814331055	21.667333602905273	3.3795742988586426	8.458107948303223	7.155032157897949	1.8773759603500366	2.845410108566284	NaN	NaN	13.689602851867676	5.5227813720703125	27.996212005615234	18.22864532470703	14.480155944824219	29.848196029663086	35.372154235839844	21.31926727294922	20.661039352416992	4.694535732269287	15.487319946289062	21.170429229736328	NaN	4.275890827178955	15.54383659362793	NaN	28.146146774291992	NaN	10.159171104431152	NaN	22.833101272583008	19.502403259277344	8.920605659484863	3.7100815773010254	3.8173060417175293	NaN	NaN	27.915021896362305	NaN	19.804107666015625
P21473	rpsO	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	26.78527069091797	27.93154525756836	32.963958740234375	19.138090133666992	27.786865234375	8.377976417541504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P21474	rpsP	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	18.058378219604492	18.785945892333984	18.031593322753906	16.94650650024414	19.236833572387695	17.7150936126709	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P21476	rpsS	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	22.448522567749023	23.051441192626953	37.235137939453125	15.496933937072754	29.35866928100586	36.80694580078125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P21477	rpsT	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	11.190505981445312	19.481081008911133	25.639619827270508	20.959468841552734	32.15777587890625	27.027536392211914	NaN	NaN	NaN	NaN	NaN	NaN	1.90707266330719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.673713684082031	8.394271850585938	NaN	11.159599304199219	NaN	NaN	6.126101016998291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.267200469970703	NaN	2.4839112758636475	NaN	17.020048141479492	NaN	1.348138689994812	NaN	NaN	NaN	NaN	4.965588569641113	NaN	NaN
P21880	pdhD	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	42.22068405151367	21.833049774169922	49.66649627685547	27.994365692138672	35.2424201965332	36.07556915283203	NaN	NaN	4.885104656219482	5.981131076812744	13.50457763671875	6.189330577850342	8.125544548034668	12.66477108001709	4.655053615570068	5.758891582489014	NaN	2.7941787242889404	6.157308578491211	7.493346691131592	6.6791768074035645	5.80897855758667	7.047905921936035	12.139009475708008	14.392387390136719	11.24267864227295	10.503642082214355	8.220963478088379	10.845904350280762	8.506786346435547	16.128599166870117	7.893229961395264	11.546072006225586	NaN	12.794098854064941	NaN	9.531000137329102	NaN	24.191814422607422	8.34487533569336	6.906553268432617	1.2098342180252075	NaN	4.36226224899292	NaN	14.547649383544922	NaN	5.908835411071777
P21881	pdhA	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	32.8714485168457	18.571298599243164	18.409618377685547	13.281725883483887	16.900466918945312	14.456769943237305	NaN	NaN	NaN	5.3310112953186035	NaN	NaN	3.595766305923462	NaN	NaN	NaN	NaN	NaN	6.161937236785889	8.176558494567871	NaN	3.3722245693206787	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.64841651916504	NaN	NaN	NaN	NaN	NaN	10.063323020935059	NaN	NaN	NaN	NaN	NaN	NaN	5.0459885597229
P21882	pdhB	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	199.564453125	126.91645812988281	170.66455078125	107.45386505126953	135.494873046875	81.54637145996094	NaN	NaN	5.803942680358887	12.379140853881836	12.879805564880371	6.252936840057373	12.506477355957031	11.127079010009766	4.400876522064209	6.493396759033203	NaN	1.6749075651168823	8.986037254333496	13.301021575927734	16.79601287841797	19.199121475219727	11.538049697875977	9.392605781555176	20.72412109375	18.493619918823242	13.528443336486816	6.192080020904541	11.330459594726562	9.051582336425781	14.603886604309082	4.224438190460205	11.782474517822266	NaN	25.83514404296875	NaN	10.718949317932129	NaN	35.23636245727539	17.780057907104492	13.006111145019531	2.953127861022949	3.0602142810821533	NaN	NaN	34.75221633911133	NaN	13.742587089538574
P21883	pdhC	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	82.42093658447266	44.52402114868164	51.275901794433594	43.513946533203125	52.57762908935547	33.19292449951172	NaN	NaN	4.1942644119262695	8.410174369812012	10.053560256958008	4.038617134094238	12.70100212097168	7.879365921020508	2.1774849891662598	6.278745174407959	NaN	NaN	12.413385391235352	9.33301067352295	11.68088150024414	5.985957622528076	4.382306098937988	8.604129791259766	NaN	5.736281394958496	7.82838249206543	3.8673741817474365	6.891536712646484	NaN	5.033759593963623	NaN	8.154126167297363	NaN	16.49905014038086	NaN	10.109180450439453	NaN	21.27832794189453	16.242412567138672	7.325767993927002	3.4596433639526367	1.2557188272476196	NaN	NaN	18.67705535888672	NaN	7.80905818939209
P24327	prsA	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	17.787187576293945	7.780080795288086	8.056346893310547	7.999075889587402	7.537882328033447	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P26908	rplU	Bacillus subtilis (strain 168)	NaN	NaN	NaN	NaN	85.17396545410156	79.09353637695312	84.83525085449219	59.34218215942383	123.5798110961914	36.68427658081055	NaN	NaN	NaN	4.596827983856201	13.573079109191895	6.978816032409668	11.831719398498535	4.841567039489746	NaN	2.3249154090881348	NaN	1.0698481798171997	26.02910804748535	5.642037868499756	29.634220123291016	35.801368713378906	9.667701721191406	39.03043746948242	31.38351058959961	37.409881591796875	23.795984268188477	16.77446937561035	7.568010330200195	8.031618118286133	12.706917762756348	21.72043228149414	NaN	NaN	41.16668701171875	NaN	14.88477897644043	NaN	26.142925262451172	20.991531372070312	4.831080436706543	NaN	NaN	NaN	NaN	41.006038665771484	NaN	10.687806129455566
