Significant	-Log(P-value)	Difference	PG.Genes	Symbol color	Symbol type	Symbol size	Show label	[1] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_01.raw.PG.Quantity	[2] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_02.raw.PG.Quantity	[3] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_03.raw.PG.Quantity	[4] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_01.raw.PG.Quantity	[5] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_02.raw.PG.Quantity	[6] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_03.raw.PG.Quantity	[7] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_01.raw.PG.Quantity	[8] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_02.raw.PG.Quantity	[9] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_03.raw.PG.Quantity	[10] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_01.raw.PG.Quantity	[11] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_02.raw.PG.Quantity	[12] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_03.raw.PG.Quantity	[13] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_01.raw.PG.Quantity	[14] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_02.raw.PG.Quantity	[15] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_03.raw.PG.Quantity	[16] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_01.raw.PG.Quantity	[17] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_02.raw.PG.Quantity	[18] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_03.raw.PG.Quantity
	0	NaN	yugJ	Color2 [DarkGray]	1	4		16.5387954711914	16.5708694458008	16.6055297851563	19.5692367553711	19.4621906280518	19.5076065063477	16.2803077697754	16.1413745880127	15.7495775222778	18.8090057373047	18.2658348083496	18.7446956634521	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yugK	Color2 [DarkGray]	1	4		16.4322834014893	16.9005947113037	16.9905166625977	18.2400417327881	17.9044761657715	17.2248268127441	19.8149242401123	19.523193359375	20.1398983001709	17.3864307403564	17.6899356842041	18.5200080871582	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yugT	Color2 [DarkGray]	1	4		16.5744667053223	16.0296669006348	16.4537296295166	18.9007816314697	18.5527858734131	19.2739295959473	NaN	NaN	NaN	16.2306995391846	16.8848457336426	16.5954627990723	16.398401260376	16.9356956481934	17.0759296417236	NaN	NaN	NaN
	0	NaN	maeN	Color2 [DarkGray]	1	4		19.0281448364258	20.0390682220459	20.9230632781982	NaN	NaN	NaN	NaN	NaN	NaN	18.1934051513672	18.7217464447021	19.3803291320801	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	iolU	Color2 [DarkGray]	1	4		17.8512535095215	17.1573886871338	18.2429332733154	16.4891223907471	18.3778018951416	19.6992378234863	18.0091667175293	19.4886245727539	18.5283737182617	13.9062175750732	13.8989181518555	13.4651145935059	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yumC	Color2 [DarkGray]	1	4		18.382194519043	18.6376571655273	18.5825653076172	17.8085651397705	18.3322238922119	18.75341796875	16.3528709411621	16.5449905395508	17.0353126525879	15.1596393585205	15.7925682067871	15.7897291183472	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	guaC	Color2 [DarkGray]	1	4		15.9319801330566	16.4156837463379	16.1198959350586	15.5983247756958	15.7288827896118	14.7747573852539	NaN	NaN	NaN	12.3137216567993	11.2795343399048	11.402871131897	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	asnO	Color2 [DarkGray]	1	4		12.8899040222168	10.0205125808716	12.9110679626465	16.9343204498291	18.1930999755859	18.5683574676514	NaN	NaN	NaN	13.4853038787842	13.6077814102173	13.9318618774414	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yrhD	Color2 [DarkGray]	1	4		15.6836309432983	13.3963203430176	17.7313537597656	20.4201469421387	20.3869819641113	20.5609397888184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	gmuD	Color2 [DarkGray]	1	4		15.3463325500488	15.1950607299805	17.7250461578369	NaN	NaN	NaN	NaN	NaN	NaN	13.5705471038818	14.5616035461426	20.0596294403076	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	gmuE	Color2 [DarkGray]	1	4		19.0063190460205	19.2112865447998	19.4712924957275	NaN	NaN	NaN	NaN	NaN	NaN	18.9250965118408	19.2599029541016	19.0525321960449	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	tsaE	Color2 [DarkGray]	1	4		20.7419147491455	20.641263961792	20.7667922973633	21.234619140625	21.2607116699219	21.3531703948975	20.7701416015625	20.7453422546387	20.8703536987305	19.4750442504883	18.7565631866455	19.4924221038818	NaN	NaN	NaN	21.0648975372314	21.2032146453857	21.2293949127197
+	1.64776818887637	1.60626411437988	tsaD	Color2 [DarkGray]	1	4		19.2476768493652	19.221586227417	19.3351802825928	20.5134201049805	20.2969455718994	19.950159072876	17.6558227539063	18.247106552124	17.1335391998291	18.7893505096436	18.3431148529053	18.1643867492676	18.9042625427246	19.7549591064453	18.7965660095215	17.5151805877686	16.9981288909912	18.123685836792
	0	NaN	tatAy	Color2 [DarkGray]	1	4		19.705379486084	19.7644691467285	19.9058265686035	19.7059173583984	19.9725933074951	20.2043018341064	21.6304721832275	22.0038642883301	21.8264656066895	19.744047164917	19.6825542449951	19.515453338623	NaN	NaN	NaN	NaN	NaN	NaN
	0	NaN	yraA	Color2 [DarkGray]	1	4		19.0657196044922	19.2128067016602	18.6692695617676	NaN	NaN	NaN	20.466365814209	20.3865413665771	19.4317207336426	19.6038131713867	19.8673267364502	19.4510231018066	19.8168792724609	19.9346790313721	18.7120819091797	NaN	NaN	NaN
