x	y
26.44	0.648144
26.43	0.648145
26.42	0.648147
26.41	0.648149
26.4	0.64815
26.39	0.648152
26.38	0.648153
26.37	0.648155
26.36	0.648156
26.35	0.648158
26.34	0.648159
26.33	0.648161
26.32	0.648162
26.31	0.648164
26.3	0.648165
26.29	0.648167
26.28	0.648168
26.27	0.64817
26.26	0.648171
26.25	0.648173
26.24	0.648174
26.23	0.648176
26.22	0.648178
26.21	0.648179
26.2	0.648181
26.19	0.648182
26.18	0.648184
26.17	0.648185
26.16	0.648187
26.15	0.648188
26.14	0.64819
26.13	0.648191
26.12	0.648193
26.11	0.648194
26.1	0.648196
26.09	0.648198
26.08	0.648199
26.07	0.648201
26.06	0.648202
26.05	0.648204
26.04	0.648205
26.03	0.648207
26.02	0.648208
26.01	0.64821
26	0.648212
25.99	0.648213
25.98	0.648215
25.97	0.648216
25.96	0.648218
25.95	0.648219
25.94	0.648221
25.93	0.648223
25.92	0.648224
25.91	0.648226
25.9	0.648227
25.89	0.648229
25.88	0.64823
25.87	0.648232
25.86	0.648234
25.85	0.648235
25.84	0.648237
25.83	0.648238
25.82	0.64824
25.81	0.648242
25.8	0.648243
25.79	0.648245
25.78	0.648246
25.77	0.648248
25.76	0.648249
25.75	0.648251
25.74	0.648253
25.73	0.648254
25.72	0.648256
25.71	0.648257
25.7	0.648259
25.69	0.648261
25.68	0.648262
25.67	0.648264
25.66	0.648265
25.65	0.648267
25.64	0.648269
25.63	0.64827
25.62	0.648272
25.61	0.648273
25.6	0.648275
25.59	0.648277
25.58	0.648278
25.57	0.64828
25.56	0.648282
25.55	0.648283
25.54	0.648285
25.53	0.648286
25.52	0.648288
25.51	0.64829
25.5	0.648291
25.49	0.648293
25.48	0.648295
25.47	0.648296
25.46	0.648298
25.45	0.648299
25.44	0.648301
25.43	0.648303
25.42	0.648304
25.41	0.648306
25.4	0.648308
25.39	0.648309
25.38	0.648311
25.37	0.648313
25.36	0.648314
25.35	0.648316
25.34	0.648317
25.33	0.648319
25.32	0.648321
25.31	0.648322
25.3	0.648324
25.29	0.648326
25.28	0.648327
25.27	0.648329
25.26	0.648331
25.25	0.648332
25.24	0.648334
25.23	0.648336
25.22	0.648337
25.21	0.648339
25.2	0.648341
25.19	0.648342
25.18	0.648344
25.17	0.648346
25.16	0.648347
25.15	0.648349
25.14	0.648351
25.13	0.648352
25.12	0.648354
25.11	0.648356
25.1	0.648357
25.09	0.648359
25.08	0.648361
25.07	0.648362
25.06	0.648364
25.05	0.648366
25.04	0.648367
25.03	0.648369
25.02	0.648371
25.01	0.648372
25	0.648374
24.99	0.648376
24.98	0.648378
24.97	0.648379
24.96	0.648381
24.95	0.648383
24.94	0.648384
24.93	0.648386
24.92	0.648388
24.91	0.648389
24.9	0.648391
24.89	0.648393
24.88	0.648395
24.87	0.648396
24.86	0.648398
24.85	0.6484
24.84	0.648401
24.83	0.648403
24.82	0.648405
24.81	0.648407
24.8	0.648408
24.79	0.64841
24.78	0.648412
24.77	0.648413
24.76	0.648415
24.75	0.648417
24.74	0.648419
24.73	0.64842
24.72	0.648422
24.71	0.648424
24.7	0.648426
24.69	0.648427
24.68	0.648429
24.67	0.648431
24.66	0.648432
24.65	0.648434
24.64	0.648436
24.63	0.648438
24.62	0.648439
24.61	0.648441
24.6	0.648443
24.59	0.648445
24.58	0.648446
24.57	0.648448
24.56	0.64845
24.55	0.648452
24.54	0.648453
24.53	0.648455
24.52	0.648457
24.51	0.648459
24.5	0.64846
24.49	0.648462
24.48	0.648464
24.47	0.648466
24.46	0.648467
24.45	0.648469
24.44	0.648471
24.43	0.648473
24.42	0.648475
24.41	0.648476
24.4	0.648478
24.39	0.64848
24.38	0.648482
24.37	0.648483
24.36	0.648485
24.35	0.648487
24.34	0.648489
24.33	0.648491
24.32	0.648492
24.31	0.648494
24.3	0.648496
24.29	0.648498
24.28	0.6485
24.27	0.648501
24.26	0.648503
24.25	0.648505
24.24	0.648507
24.23	0.648509
24.22	0.64851
24.21	0.648512
24.2	0.648514
24.19	0.648516
24.18	0.648518
24.17	0.648519
24.16	0.648521
24.15	0.648523
24.14	0.648525
24.13	0.648527
24.12	0.648528
24.11	0.64853
24.1	0.648532
24.09	0.648534
24.08	0.648536
24.07	0.648538
24.06	0.648539
24.05	0.648541
24.04	0.648543
24.03	0.648545
24.02	0.648547
24.01	0.648548
24	0.64855
23.99	0.648552
23.98	0.648554
23.97	0.648556
23.96	0.648558
23.95	0.64856
23.94	0.648561
23.93	0.648563
23.92	0.648565
23.91	0.648567
23.9	0.648569
23.89	0.648571
23.88	0.648573
23.87	0.648574
23.86	0.648576
23.85	0.648578
23.84	0.64858
23.83	0.648582
23.82	0.648584
23.81	0.648585
23.8	0.648587
23.79	0.648589
23.78	0.648591
23.77	0.648593
23.76	0.648595
23.75	0.648597
23.74	0.648599
23.73	0.6486
23.72	0.648602
23.71	0.648604
23.7	0.648606
23.69	0.648608
23.68	0.64861
23.67	0.648612
23.66	0.648614
23.65	0.648616
23.64	0.648617
23.63	0.648619
23.62	0.648621
23.61	0.648623
23.6	0.648625
23.59	0.648627
23.58	0.648629
23.57	0.648631
23.56	0.648633
23.55	0.648635
23.54	0.648636
23.53	0.648638
23.52	0.64864
23.51	0.648642
23.5	0.648644
23.49	0.648646
23.48	0.648648
23.47	0.64865
23.46	0.648652
23.45	0.648654
23.44	0.648656
23.43	0.648658
23.42	0.648659
23.41	0.648661
23.4	0.648663
23.39	0.648665
23.38	0.648667
23.37	0.648669
23.36	0.648671
23.35	0.648673
23.34	0.648675
23.33	0.648677
23.32	0.648679
23.31	0.648681
23.3	0.648683
23.29	0.648685
23.28	0.648687
23.27	0.648689
23.26	0.648691
23.25	0.648692
23.24	0.648694
23.23	0.648696
23.22	0.648698
23.21	0.6487
23.2	0.648702
23.19	0.648704
23.18	0.648706
23.17	0.648708
23.16	0.64871
23.15	0.648712
23.14	0.648714
23.13	0.648716
23.12	0.648718
23.11	0.64872
23.1	0.648722
23.09	0.648724
23.08	0.648726
23.07	0.648728
23.06	0.64873
23.05	0.648732
23.04	0.648734
23.03	0.648736
23.02	0.648738
23.01	0.64874
23	0.648742
22.99	0.648744
22.98	0.648746
22.97	0.648748
22.96	0.64875
22.95	0.648752
22.94	0.648754
22.93	0.648756
22.92	0.648758
22.91	0.64876
22.9	0.648762
22.89	0.648764
22.88	0.648766
22.87	0.648768
22.86	0.64877
22.85	0.648772
22.84	0.648774
22.83	0.648776
22.82	0.648778
22.81	0.64878
22.8	0.648782
22.79	0.648784
22.78	0.648786
22.77	0.648788
22.76	0.64879
22.75	0.648793
22.74	0.648795
22.73	0.648797
22.72	0.648799
22.71	0.648801
22.7	0.648803
22.69	0.648805
22.68	0.648807
22.67	0.648809
22.66	0.648811
22.65	0.648813
22.64	0.648815
22.63	0.648817
22.62	0.648819
22.61	0.648821
22.6	0.648823
22.59	0.648825
22.58	0.648827
22.57	0.64883
22.56	0.648832
22.55	0.648834
22.54	0.648836
22.53	0.648838
22.52	0.64884
22.51	0.648842
22.5	0.648844
22.49	0.648846
22.48	0.648848
22.47	0.64885
22.46	0.648853
22.45	0.648855
22.44	0.648857
22.43	0.648859
22.42	0.648861
22.41	0.648863
22.4	0.648865
22.39	0.648867
22.38	0.648869
22.37	0.648871
22.36	0.648874
22.35	0.648876
22.34	0.648878
22.33	0.64888
22.32	0.648882
22.31	0.648884
22.3	0.648886
22.29	0.648888
22.28	0.648891
22.27	0.648893
22.26	0.648895
22.25	0.648897
22.24	0.648899
22.23	0.648901
22.22	0.648903
22.21	0.648906
22.2	0.648908
22.19	0.64891
22.18	0.648912
22.17	0.648914
22.16	0.648916
22.15	0.648918
22.14	0.648921
22.13	0.648923
22.12	0.648925
22.11	0.648927
22.1	0.648929
22.09	0.648931
22.08	0.648934
22.07	0.648936
22.06	0.648938
22.05	0.64894
22.04	0.648942
22.03	0.648944
22.02	0.648947
22.01	0.648949
22	0.648951
21.99	0.648953
21.98	0.648955
21.97	0.648958
21.96	0.64896
21.95	0.648962
21.94	0.648964
21.93	0.648966
21.92	0.648969
21.91	0.648971
21.9	0.648973
21.89	0.648975
21.88	0.648977
21.87	0.64898
21.86	0.648982
21.85	0.648984
21.84	0.648986
21.83	0.648989
21.82	0.648991
21.81	0.648993
21.8	0.648995
21.79	0.648997
21.78	0.649
21.77	0.649002
21.76	0.649004
21.75	0.649006
21.74	0.649009
21.73	0.649011
21.72	0.649013
21.71	0.649015
21.7	0.649018
21.69	0.64902
21.68	0.649022
21.67	0.649024
21.66	0.649027
21.65	0.649029
21.64	0.649031
21.63	0.649033
21.62	0.649036
21.61	0.649038
21.6	0.64904
21.59	0.649042
21.58	0.649045
21.57	0.649047
21.56	0.649049
21.55	0.649052
21.54	0.649054
21.53	0.649056
21.52	0.649058
21.51	0.649061
21.5	0.649063
21.49	0.649065
21.48	0.649068
21.47	0.64907
21.46	0.649072
21.45	0.649074
21.44	0.649077
21.43	0.649079
21.42	0.649081
21.41	0.649084
21.4	0.649086
21.39	0.649088
21.38	0.649091
21.37	0.649093
21.36	0.649095
21.35	0.649098
21.34	0.6491
21.33	0.649102
21.32	0.649105
21.31	0.649107
21.3	0.649109
21.29	0.649112
21.28	0.649114
21.27	0.649116
21.26	0.649119
21.25	0.649121
21.24	0.649123
21.23	0.649126
21.22	0.649128
21.21	0.64913
21.2	0.649133
21.19	0.649135
21.18	0.649137
21.17	0.64914
21.16	0.649142
21.15	0.649144
21.14	0.649147
21.13	0.649149
21.12	0.649152
21.11	0.649154
21.1	0.649156
21.09	0.649159
21.08	0.649161
21.07	0.649163
21.06	0.649166
21.05	0.649168
21.04	0.649171
21.03	0.649173
21.02	0.649175
21.01	0.649178
21	0.64918
20.99	0.649183
20.98	0.649185
20.97	0.649187
20.96	0.64919
20.95	0.649192
20.94	0.649195
20.93	0.649197
20.92	0.6492
20.91	0.649202
20.9	0.649204
20.89	0.649207
20.88	0.649209
20.87	0.649212
20.86	0.649214
20.85	0.649217
20.84	0.649219
20.83	0.649221
20.82	0.649224
20.81	0.649226
20.8	0.649229
20.79	0.649231
20.78	0.649234
20.77	0.649236
20.76	0.649239
20.75	0.649241
20.74	0.649243
20.73	0.649246
20.72	0.649248
20.71	0.649251
20.7	0.649253
20.69	0.649256
20.68	0.649258
20.67	0.649261
20.66	0.649263
20.65	0.649266
20.64	0.649268
20.63	0.649271
20.62	0.649273
20.61	0.649276
20.6	0.649278
20.59	0.649281
20.58	0.649283
20.57	0.649286
20.56	0.649288
20.55	0.649291
20.54	0.649293
20.53	0.649296
20.52	0.649298
20.51	0.649301
20.5	0.649303
20.49	0.649306
20.48	0.649308
20.47	0.649311
20.46	0.649313
20.45	0.649316
20.44	0.649318
20.43	0.649321
20.42	0.649324
20.41	0.649326
20.4	0.649329
20.39	0.649331
20.38	0.649334
20.37	0.649336
20.36	0.649339
20.35	0.649341
20.34	0.649344
20.33	0.649346
20.32	0.649349
20.31	0.649352
20.3	0.649354
20.29	0.649357
20.28	0.649359
20.27	0.649362
20.26	0.649364
20.25	0.649367
20.24	0.64937
20.23	0.649372
20.22	0.649375
20.21	0.649377
20.2	0.64938
20.19	0.649383
20.18	0.649385
20.17	0.649388
20.16	0.64939
20.15	0.649393
20.14	0.649396
20.13	0.649398
20.12	0.649401
20.11	0.649404
20.1	0.649406
20.09	0.649409
20.08	0.649411
20.07	0.649414
20.06	0.649417
20.05	0.649419
20.04	0.649422
20.03	0.649425
20.02	0.649427
20.01	0.64943
20	0.649432
19.99	0.649435
19.98	0.649438
19.97	0.64944
19.96	0.649443
19.95	0.649446
19.94	0.649448
19.93	0.649451
19.92	0.649454
19.91	0.649456
19.9	0.649459
19.89	0.649462
19.88	0.649464
19.87	0.649467
19.86	0.64947
19.85	0.649473
19.84	0.649475
19.83	0.649478
19.82	0.649481
19.81	0.649483
19.8	0.649486
19.79	0.649489
19.78	0.649491
19.77	0.649494
19.76	0.649497
19.75	0.6495
19.74	0.649502
19.73	0.649505
19.72	0.649508
19.71	0.64951
19.7	0.649513
19.69	0.649516
19.68	0.649519
19.67	0.649521
19.66	0.649524
19.65	0.649527
19.64	0.64953
19.63	0.649532
19.62	0.649535
19.61	0.649538
19.6	0.649541
19.59	0.649543
19.58	0.649546
19.57	0.649549
19.56	0.649552
19.55	0.649554
19.54	0.649557
19.53	0.64956
19.52	0.649563
19.51	0.649566
19.5	0.649568
19.49	0.649571
19.48	0.649574
19.47	0.649577
19.46	0.64958
19.45	0.649582
19.44	0.649585
19.43	0.649588
19.42	0.649591
19.41	0.649594
19.4	0.649596
19.39	0.649599
19.38	0.649602
