[1] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_01.raw.PG.Quantity	[2] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_02.raw.PG.Quantity	[3] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_03.raw.PG.Quantity	[4] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_01.raw.PG.Quantity	[5] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_02.raw.PG.Quantity	[6] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_03.raw.PG.Quantity	[7] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_01.raw.PG.Quantity	[8] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_02.raw.PG.Quantity	[9] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_03.raw.PG.Quantity	[10] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_01.raw.PG.Quantity	[11] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_02.raw.PG.Quantity	[12] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_03.raw.PG.Quantity	[13] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_01.raw.PG.Quantity	[14] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_02.raw.PG.Quantity	[15] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_03.raw.PG.Quantity	[16] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_01.raw.PG.Quantity	[17] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_02.raw.PG.Quantity	[18] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_03.raw.PG.Quantity	T: PG.Genes
22.1003	22.1478	22.056	24.4841	24.3951	24.314	22.3597	22.3248	22.3513	23.0214	22.8448	23.0492	NaN	NaN	NaN	23.9392	23.9207	23.8712	rpoY
15.9745	14.5737	15.5629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ykzI
20.7273	20.5829	20.7292	23.02	23.291	23.1083	20.2934	20.3321	20.2642	NaN	NaN	NaN	20.1001	20.0603	20.1691	NaN	NaN	NaN	pyrH
22.7493	22.6436	22.7334	22.8936	22.6721	22.4931	22.5119	22.5258	22.4057	21.5022	21.4721	21.4091	21.7232	21.6354	21.5845	21.9169	21.4798	22.2126	proS
18.0658	18.0703	17.8581	20.3369	20.2014	20.0611	NaN	NaN	NaN	18.8846	19.2985	18.9778	NaN	NaN	NaN	19.305	19.4993	19.5771	rnjB
20.2653	20.0048	20.3856	22.4129	22.217	21.9124	21.7644	21.6422	21.7783	25.0409	19.4291	19.5592	NaN	NaN	NaN	20.4	20.4962	18.7173	ymfF
20.0033	19.878	20.0062	19.5571	19.4986	19.34	21.4377	21.6075	21.7108	19.3329	19.3436	18.8856	21.1776	21.1277	21.1456	NaN	NaN	NaN	ymfH
17.7168	17.7757	17.4483	15.591	16.2626	16.7326	19.4391	18.4727	17.9332	NaN	NaN	NaN	17.7869	17.2762	17.5554	NaN	NaN	NaN	ymfI
16.2774	16.1245	15.7823	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ymfM
14.5807	15.1307	14.4908	14.2226	15.1975	15.0877	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ymdB
17.95	17.2699	17.8938	18.0419	18.0018	17.8413	19.5198	19.1261	19.5829	13.4574	13.7424	13.948	7.12355	13.8582	14.504	NaN	NaN	NaN	kbl
18.7861	19.0121	18.991	20.2303	20.0908	20.1737	19.4258	19.4731	19.2073	17.6864	17.89	17.828	19.1463	18.9896	19.2552	NaN	NaN	NaN	miaB
19.0969	19.3637	19.502	21.8742	22.8737	22.8987	19.4277	19.462	19.4246	19.231	18.9496	19.3338	NaN	NaN	NaN	NaN	NaN	NaN	yncF
19.9044	20.3402	21.3551	22.0512	22.1669	21.9453	NaN	NaN	NaN	19.3927	19.7615	19.8074	NaN	NaN	NaN	NaN	NaN	NaN	yndB
18.2691	18.1072	18.1768	21.7723	21.5953	21.9243	20.8699	20.7882	20.9004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ynzC
16.0807	16.5327	16.5031	NaN	NaN	NaN	NaN	NaN	NaN	15.8761	16.965	16.7734	NaN	NaN	NaN	NaN	NaN	NaN	yozG
14.5613	15.0764	14.7127	17.6755	17.4257	17.1033	NaN	NaN	NaN	15.0619	14.9801	15.5548	NaN	NaN	NaN	NaN	NaN	NaN	yozI
15.1539	15.765	17.011	17.9867	17.6365	16.3283	15.9377	18.3343	17.9236	NaN	NaN	NaN	15.5389	16.063	17.1268	NaN	NaN	NaN	yozC
17.3416	17.6133	17.2128	NaN	NaN	NaN	17.2154	17.3832	16.8952	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yojO
17.7127	17.3689	16.8341	NaN	NaN	NaN	16.9759	18.5954	19.3179	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yopC
17.798	17.981	17.9809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yonI
12.0563	12.5111	12.9348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yokJ
19.7875	20.0307	19.8448	18.6094	19.4559	19.5196	20.2362	20.4091	20.2583	15.2659	14.0402	14.6497	NaN	NaN	NaN	NaN	NaN	NaN	yokF
17.8615	17.7628	17.836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yokB
18.3539	18.3743	18.4606	19.1219	19.0655	19.2859	17.3893	17.2948	18.2934	18.8528	18.9304	19.285	17.6513	17.6004	18.0425	NaN	NaN	NaN	yokA
19.3844	19.5056	18.9951	19.87	19.5742	19.4179	19.1109	19.1422	19.0971	14.8558	14.5175	15.877	18.898	18.4999	18.7549	NaN	NaN	NaN	yqzC
17.9921	18.1912	18.2582	15.8358	15.7365	15.5525	19.1317	19.1608	18.9741	NaN	NaN	NaN	18.1393	18.9009	18.3298	NaN	NaN	NaN	yrrS
18.7918	16.2003	16.1997	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	udk
16.0818	15.5736	15.9635	16.7997	16.8637	16.0481	NaN	NaN	NaN	19.5257	19.8246	20.03	NaN	NaN	NaN	NaN	NaN	NaN	trhP2
14.0138	14.3665	14.0281	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	tcdA
19.9016	19.8258	19.723	20.7486	20.7618	20.67	22.0107	21.9335	21.9473	17.3342	17.1779	17.6915	19.2855	18.6536	19.6502	NaN	NaN	NaN	aspS
21.4689	21.477	21.4575	21.7312	21.4452	21.5459	21.287	21.2521	21.3442	19.0412	18.9859	18.8249	21.0095	20.8332	20.7776	17.019	17.0629	16.9496	hisS
17.2903	16.4696	17.2932	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yrvJ
16.7418	16.4101	16.0496	NaN	NaN	NaN	20.054	19.9778	20.0258	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yrvD
20.1712	20.0726	20.3695	21.0454	22.795	21.515	NaN	NaN	NaN	19.1027	13.2953	19.4117	NaN	NaN	NaN	NaN	NaN	NaN	yrvC
16.9568	16.8002	16.4751	16.1118	15.8146	15.6283	19.5125	19.3681	19.3136	NaN	NaN	NaN	15.7992	14.9834	15.8165	NaN	NaN	NaN	secDF
16.2587	15.0754	14.9655	NaN	NaN	NaN	17.3467	17.6876	18.2596	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yrbF
15.444	15.498	15.31	16.8901	16.7284	16.8749	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ytzB
14.9679	14.6345	14.3842	15.3115	14.1719	12.4872	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ytzG
18.1087	17.8525	18.2757	20.6834	20.5287	20.9967	19.9749	20.6716	20.7111	16.8233	16.3621	15.8149	18.0057	18.2632	18.4959	NaN	NaN	NaN	ytwF
14.6046	14.1664	NaN	16.636	18.815	19.0667	NaN	NaN	NaN	16.8034	19.7595	19.7411	NaN	NaN	NaN	NaN	NaN	NaN	floT
18.1597	18.3803	18.0633	NaN	NaN	NaN	17.7643	17.9695	17.0516	15.1613	17.2964	15.6444	16.9295	18.8368	18.2431	NaN	NaN	NaN	yubF
19.4341	19.4057	19.5254	19.5788	19.5615	19.3235	19.7232	19.8492	19.8232	15.6779	15.7693	15.7284	19.5503	19.4852	19.4807	NaN	NaN	NaN	yuzA
15.2967	15.3238	15.2792	18.0819	17.3169	17.5348	16.2069	13.4488	14.7175	NaN	NaN	NaN	12.8056	13.4985	13.5618	12.9393	12.2969	11.3607	pncA
18.245	18.3431	18.438	18.8708	19.0261	18.9679	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yueE
21.3931	21.2646	21.5546	20.3122	20.9459	21.0776	21.9817	21.9969	21.9004	19.7225	19.8204	19.9945	20.6957	20.9036	20.2667	NaN	NaN	NaN	yueB
15.8465	14.8638	14.7296	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	pepA
15.0213	14.5908	15.0668	NaN	NaN	NaN	18.5615	18.7012	18.393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	sufA
19.5848	19.2563	20.23	18.7381	19.2891	19.3579	19.9694	20.2417	19.8953	NaN	NaN	NaN	19.4759	19.3341	19.4145	NaN	NaN	NaN	dapF
14.6869	14.0812	15.4532	NaN	NaN	NaN	16.5124	16.4262	16.314	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yutK
20.9675	21.1295	21.1735	20.4084	20.222	20.0762	23.1236	23.0813	23.1704	19.6982	19.7219	19.7617	20.736	20.6504	20.7693	18.1471	18.3344	20.5458	lipA
17.4591	17.8884	18.0913	19.2821	19.1967	19.9272	18.7196	18.3965	18.4254	17.5179	17.8087	18.0203	NaN	NaN	NaN	NaN	NaN	NaN	yurR
21.0775	20.9463	20.5624	NaN	NaN	NaN	20.7981	20.7741	20.7553	20.3159	20.3934	20.2883	11.9456	NaN	11.2597	21.2713	21.1487	21.1515	yurT
21.2656	21.2981	21.4727	22.7157	22.5651	22.518	22.7476	22.6933	22.4198	21.8968	22.1134	21.9102	21.3615	21.3923	21.4495	19.88	19.6848	19.6257	sufB
22.0347	22.0885	22.0255	20.7386	21.4726	21.6476	21.6336	22.0348	22.1012	20.7777	20.8015	20.9843	21.1465	20.524	21.0657	20.2458	20.2022	20.2317	sufU
23.228	23.4498	23.2695	20.8584	20.5408	20.9435	21.9036	21.996	22.3195	21.9504	22.0154	21.5823	21.2617	20.712	20.8969	20.3783	20.2681	20.3058	sufD
17.8972	18.0781	17.9587	18.1645	17.9274	18.4333	18.9915	18.9858	19.0147	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	metN
22.2793	22.2338	22.1528	20.2434	20.1035	20.2645	23.5385	23.5188	23.7964	20.7976	20.8447	20.7699	NaN	NaN	NaN	NaN	NaN	NaN	yusI
12.8784	12.5896	14.5662	16.3016	17.0685	17.1077	NaN	NaN	NaN	14.1956	12.4979	11.7359	NaN	NaN	NaN	20.575	20.7049	20.3118	fadE
19.192	19.0461	19.3806	NaN	NaN	NaN	18.3526	18.8306	18.6983	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	fadA
12.3859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yusU
21.0001	20.8319	20.869	19.7234	19.6365	19.3896	20.9139	20.7053	20.618	19.8918	19.8553	19.2459	NaN	NaN	NaN	NaN	NaN	NaN	yusV
18.7607	18.6479	18.5519	NaN	NaN	NaN	18.3434	18.8163	18.5124	NaN	NaN	NaN	18.5127	18.7199	18.4769	NaN	NaN	NaN	cssR
23.4258	23.4852	23.4666	22.6318	22.497	22.451	23.7065	23.7232	23.8023	21.5711	22.0574	22.3636	22.1594	22.3081	22.2089	21.5523	21.4569	21.8878	yvgN
14.0209	13.7417	13.8543	19.5299	19.8944	19.546	NaN	NaN	NaN	16.1368	16.2651	16.5532	NaN	NaN	NaN	NaN	NaN	NaN	cysJ
18.1251	17.9183	18.3558	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	helD
17.7845	18.0436	17.7775	17.4769	17.4889	17.655	NaN	NaN	NaN	20.7446	20.4515	20.5815	NaN	NaN	NaN	NaN	NaN	NaN	copA
15.5136	15.7086	16.0688	17.3388	17.3233	16.9596	16.1888	17.0218	16.8202	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	copZ
20.5803	20.5938	20.4219	16.5991	16.7483	16.4735	22.8394	22.8122	22.8857	NaN	NaN	NaN	19.9346	20.3017	20.0813	NaN	NaN	NaN	iolW
16.4844	16.2173	16.5339	16.7935	15.4832	16.67	17.1894	17.3352	17.9427	15.1063	15.8945	16.2234	NaN	NaN	NaN	NaN	NaN	NaN	azoR2
20.9892	20.7939	20.8778	21.5825	21.5675	21.7188	20.9501	20.882	20.9908	19.7555	19.7816	20.2981	19.3155	19.4411	19.2534	NaN	NaN	NaN	rnr
13.8416	13.7088	14.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	est
18.9175	19.1496	19.2635	21.1842	21.1513	20.6807	19.9405	19.9562	19.3259	18.1375	18.8533	19.2026	NaN	NaN	NaN	NaN	NaN	NaN	yvbJ
17.0943	17.1213	17.0697	17.0174	17.4524	17.7215	19.6951	18.6944	19.2336	15.6553	15.0548	14.1821	16.6335	16.3813	16.2913	NaN	NaN	NaN	lutC
19.0244	19.3515	19.5702	16.1043	16.9886	17.1413	21.0886	20.8753	21.1332	NaN	NaN	NaN	19.6276	19.4414	18.6146	NaN	NaN	NaN	yvcT
18.4003	18.2222	18.2605	15.6695	16.5058	16.4874	19.735	19.7534	19.7786	NaN	NaN	NaN	19.1169	19.2971	19.4239	NaN	NaN	NaN	rapG
17.1459	17.3638	17.8958	16.5026	17.9278	17.5361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ydjA
16.2369	16.0846	16.0678	17.9819	18.1815	18.5299	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ytkK
20.276	20.2993	20.2898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	rph
16.0657	16.5064	16.5771	16.7826	16.4816	16.3722	17.4847	17.5507	17.5902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ylbH
21.1535	21.1248	21.088	21.7065	21.4697	21.2265	22.2374	22.5068	22.6021	15.9578	16.0606	16.8354	20.0895	20.2575	20.0802	NaN	NaN	NaN	yjoA
20.5747	20.5413	20.6319	21.93	21.8434	21.8808	20.1269	20.1487	20.2123	20.7517	20.9209	20.9373	19.5817	19.4638	19.6355	22.0565	21.7944	21.949	fabF
18.8626	18.9289	19.0324	NaN	NaN	NaN	19.8654	19.8429	19.5533	NaN	NaN	NaN	17.6183	17.4104	17.1841	NaN	NaN	NaN	yebC
20.1266	20.4207	20.3167	20.6064	20.4252	20.2678	NaN	NaN	NaN	16.5832	16.5468	16.3754	NaN	NaN	NaN	NaN	NaN	NaN	argG
14.8347	15.0455	14.4861	19.0983	19.3408	19.0392	18.4938	18.5666	18.5975	16.4746	16.2801	16.312	NaN	NaN	NaN	NaN	NaN	NaN	yfmC
19.0195	19.4792	19.098	18.3444	18.251	18.2976	19.4047	19.3822	19.5036	18.0258	17.1457	17.1004	18.8221	17.7652	18.7269	NaN	NaN	NaN	ytcJ
17.9243	17.2216	17.3736	16.0587	14.4271	15.6894	19.834	19.7519	19.8352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ytpP
20.1345	20.1447	20.1969	19.5352	20.4615	20.5526	20.0314	20.0681	20.0263	18.2291	18.3175	18.643	20.9006	20.5298	20.9506	NaN	NaN	NaN	htrA
16.7437	17.0285	16.6814	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	malS
14.4348	15.3609	15.378	17.7498	17.5397	17.5729	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yjjA
17.1497	17.1089	16.6961	NaN	NaN	NaN	17.8495	18.1644	17.5052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	mutM
17.8678	18.1293	18.1862	NaN	NaN	NaN	19.7549	20.5643	20.3676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	gapB
17.0766	14.9682	18.311	19.8439	19.9113	20.0325	NaN	NaN	NaN	15.5715	15.9845	18.1944	NaN	NaN	NaN	NaN	NaN	NaN	yloC
16.539	16.8826	17.5112	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	mgtE
18.1803	18.5871	18.2868	20.9716	20.7163	20.8513	19.7377	19.974	19.9491	18.6247	18.7964	18.5508	13.2109	13.2067	15.8068	NaN	NaN	NaN	apt
17.5201	17.0921	17.682	NaN	NaN	NaN	NaN	NaN	NaN	14.4599	14.7259	15.2025	NaN	NaN	NaN	NaN	NaN	NaN	yceF
16.9481	17.1794	15.4211	15.5069	15.0296	16.1851	16.3514	16.278	15.9954	14.152	14.0295	12.6479	16.3199	17.0401	17.0275	NaN	NaN	NaN	yopQ
18.3939	18.342	17.8702	17.4196	21.5485	19.6895	NaN	NaN	NaN	17.0242	16.6786	16.4248	NaN	NaN	NaN	NaN	NaN	NaN	nagA
18.4803	16.455	17.7685	16.0484	15.2667	15.8773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	nos
18.1782	18.1833	12.4596	19.4374	19.1437	20.3015	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ylbP
16.3394	16.3835	15.7858	17.99	17.7866	17.9204	16.58	16.4946	16.0963	14.4646	14.8251	14.3071	15.0303	15.1041	14.7806	NaN	NaN	NaN	yeeB
17.6677	17.4748	18.0235	20.7219	20.4826	20.7748	17.5918	16.9553	17.2048	17.8392	18.1068	17.7489	18.494	19.9518	18.8184	17.8083	18.1117	18.1104	ylbL
19.0888	19.0816	19.1768	16.7359	16.5009	16.7231	19.2532	19.1746	19.1076	14.0433	12.4418	14.0366	NaN	NaN	NaN	NaN	NaN	NaN	ytlQ
16.6608	17.17	16.8834	16.1566	16.4504	15.0998	17.2433	17.1619	16.9212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yoeA
13.8023	14.8724	13.4798	17.7784	17.7459	19.1817	17.9443	17.9496	17.2973	14.5735	13.4538	13.7558	NaN	NaN	NaN	NaN	NaN	NaN	ytkP
18.746	18.7707	18.7228	17.9705	18.0119	17.8008	NaN	NaN	NaN	17.1734	17.162	17.1569	18.4757	18.4703	18.5748	NaN	NaN	NaN	yccF
15.7591	15.8242	17.4689	14.8588	14.2955	14.1455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	recD2
14.2661	14.7242	13.2165	17.6251	18.0376	17.9963	17.1071	17.6622	17.2549	16.5069	16.8878	17.6928	12.2959	13.7798	13.5974	NaN	NaN	NaN	hprK
20.3748	20.4066	20.3891	20.3239	20.7101	20.945	20.4907	20.8482	20.99	18.9525	18.9627	19.3377	20.9531	20.122	19.9279	NaN	NaN	NaN	mapB
17.2461	17.3447	17.5884	18.1095	17.6136	17.7414	18.7287	18.4881	18.7915	NaN	NaN	NaN	16.9749	16.9661	16.8177	NaN	NaN	NaN	ytpQ
18.7148	18.8047	18.7982	15.407	17.5053	18.1297	19.7215	19.872	19.8414	16.327	16.3197	16.3277	16.4562	15.9422	16.1987	NaN	NaN	NaN	pgl
17.3631	17.3207	17.2091	16.6986	16.325	16.2226	18.4739	18.192	17.659	NaN	NaN	NaN	16.2797	16.4205	16.3027	NaN	NaN	NaN	prkC
17.0349	17.1148	17.0457	15.0023	14.6448	14.9278	20.3855	20.6726	20.8876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	menC
17.0547	17.2882	16.9793	19.3003	18.9928	19.2387	16.1905	16.0102	16.2276	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	sppA
20.2298	20.0775	20.3646	21.168	20.894	21.0573	20.6329	20.7319	20.7859	19.1791	19.206	19.3171	19.9467	20.4114	20.3662	18.1457	17.8168	17.7517	alaS
20.1686	20.1663	20.204	21.5283	21.6861	21.4971	22.1394	21.9349	22.0147	19.5347	19.3067	17.2731	18.5241	16.1465	17.8799	NaN	NaN	NaN	cymR
20.928	20.9979	20.8362	19.6422	19.5757	20.3663	20.6603	21.0466	21.0582	18.9692	18.3662	17.9886	20.9717	21.1721	20.963	NaN	NaN	NaN	pfkA
21.5565	21.4381	21.457	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	rsgA
16.1759	16.5627	15.754	NaN	NaN	NaN	17.453	19.3909	19.4572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yflK
12.089	NaN	6.57965	16.1454	17.0216	17.2039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	cysC
18.7236	18.8835	18.6188	18.8272	19.0372	18.6931	17.3526	17.5502	17.6211	16.6923	15.6974	16.9474	15.4948	16.3841	17.7464	NaN	NaN	NaN	pcrA
16.0828	15.8572	15.4613	NaN	NaN	NaN	14.6154	15.0726	14.4625	NaN	NaN	NaN	13.6633	14.2681	14.1338	NaN	NaN	NaN	ylbC
19.1304	18.8533	18.2597	21.1027	21.1274	21.083	18.4891	18.5123	17.9096	19.0432	19.2699	19.1512	18.4915	18.2773	18.3205	14.0397	14.6182	14.377	ykuP
17.1506	17.3848	17.0299	19.0849	19.3409	19.4123	11.8382	12.8021	12.9094	18.2473	18.3156	18.5143	NaN	NaN	NaN	17.1492	16.05	16.6287	acoB
20.9061	20.8631	20.8991	16.9821	16.8528	16.7264	22.0349	22.3871	22.3709	12.9075	13.411	12.9507	19.3834	19.9563	19.7826	NaN	NaN	NaN	cccB
18.3671	18.4282	18.0728	14.4863	14.3778	14.2077	19.105	19.0205	19.336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yobK
19.1866	19.169	19.0477	18.3212	18.3432	17.9775	20.1699	20.0548	20.0483	15.8877	16.3449	16.277	19.2483	19.4175	19.0712	NaN	NaN	NaN	sdaAA
16.7209	17.1816	16.8779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yjlB
19.4465	19.3527	19.1232	19.9995	20.0649	20.0609	19.1143	19.0026	18.9666	18.1453	18.2476	18.2327	NaN	NaN	NaN	20.6916	20.3993	20.1438	rlmN
14.5359	15.1903	15.8415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	dnaE
18.4151	18.2801	18.1079	17.5288	17.3156	17.4077	19.8317	19.6952	19.8149	16.0244	15.8192	14.67	16.5393	16.6002	16.3585	NaN	NaN	NaN	yvlB
19.3713	19.4334	19.5284	18.4345	18.3564	18.3379	19.5975	19.7891	19.7646	17.9928	18.2006	19.1298	18.2013	18.2778	18.2956	18.3684	18.4643	18.6446	yerH
18.2466	17.6156	18.0508	18.7653	18.8488	18.6951	21.4055	22.5021	22.597	16.5178	16.1518	14.7821	12.6387	13.034	13.3684	NaN	NaN	NaN	yjlC
17.2533	17.4767	19.1176	19.1952	19.2208	19.7251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yrrK
18.184	18.2809	18.121	18.5312	19.0862	12.6808	NaN	NaN	NaN	18.5032	17.6427	10.4751	NaN	NaN	NaN	NaN	NaN	NaN	sdaAB
18.2302	18.394	18.2089	17.8233	17.6238	17.5883	19.2493	19.1595	19.086	16.1466	16.2381	16.0494	17.6703	17.6921	17.8162	NaN	NaN	NaN	cdaR
20.6153	20.6254	20.392	19.9013	19.9516	19.987	20.5088	20.8915	20.9112	NaN	NaN	NaN	14.2727	14.0986	15.0307	NaN	NaN	NaN	dhaS
12.9669	13.6699	13.0865	15.428	14.9817	15.9866	NaN	NaN	NaN	13.7553	23.292	11.569	NaN	NaN	NaN	NaN	NaN	NaN	ctpA
19.3774	19.3512	19.2679	18.3366	17.579	17.7702	21.6466	21.7	21.7544	14.7262	15.1216	16.3754	NaN	NaN	NaN	NaN	NaN	NaN	luxS
16.5831	16.496	16.8198	17.5224	17.4823	17.307	18.3921	18.5372	18.5006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yocH
14.934	13.8655	13.9261	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	kamA
18.9017	19.0314	19.2394	19.3396	19.0222	18.8659	19.1687	19.1761	18.161	16.6988	18.6313	18.4413	NaN	NaN	NaN	NaN	NaN	NaN	ydiP
19.3205	19.6595	19.3965	23.2617	23.636	23.6957	21.5499	22.1738	22.1413	15.9164	15.8942	15.7885	22.0618	19.6323	19.3938	NaN	NaN	NaN	rqcH
15.3503	15.8996	15.2966	17.3874	18.154	19.7148	18.9094	18.3277	18.0946	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	fabHA
19.1488	19.879	19.9384	9.76118	13.186	14.5367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yfmL
21.084	21.145	21.0807	20.944	20.9487	20.9456	21.1367	21.2779	21.0952	19.885	19.7512	19.7019	20.3687	20.3637	20.4102	19.6904	20.3143	19.4852	yloV
20.8005	20.7531	20.8819	21.331	21.3902	20.8697	20.8184	20.7359	20.7811	NaN	NaN	NaN	NaN	NaN	NaN	22.1394	22.0944	22.1068	ydjO
18.0409	18.0887	18.3353	17.2055	18.1449	18.0816	17.1146	17.4848	17.3364	17.9957	18.0659	18.0083	18.2165	18.5362	18.3226	NaN	NaN	NaN	ohrA
18.1672	18.0605	18.0628	26.0283	25.7585	25.7087	19.6879	20.09	20.2737	19.0377	19.2638	20.1328	19.8435	20.4134	20.0849	NaN	NaN	NaN	sat
17.6773	17.1424	17.4404	17.8128	17.5994	18.1831	NaN	NaN	NaN	17.9713	17.9835	17.9604	NaN	NaN	NaN	NaN	NaN	NaN	oxdD
