[1] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_01.raw.PG.Quantity	[2] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_02.raw.PG.Quantity	[3] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_03.raw.PG.Quantity	[4] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_01.raw.PG.Quantity	[5] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_02.raw.PG.Quantity	[6] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_03.raw.PG.Quantity	[7] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_01.raw.PG.Quantity	[8] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_02.raw.PG.Quantity	[9] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_03.raw.PG.Quantity	[10] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_01.raw.PG.Quantity	[11] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_02.raw.PG.Quantity	[12] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_03.raw.PG.Quantity	[13] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_01.raw.PG.Quantity	[14] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_02.raw.PG.Quantity	[15] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_03.raw.PG.Quantity	[16] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_01.raw.PG.Quantity	[17] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_02.raw.PG.Quantity	[18] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_03.raw.PG.Quantity	T: PG.Genes
15.3463	15.1951	17.725	NaN	NaN	NaN	NaN	NaN	NaN	13.5705	14.5616	20.0596	NaN	NaN	NaN	NaN	NaN	NaN	gmuD
19.0063	19.2113	19.4713	NaN	NaN	NaN	NaN	NaN	NaN	18.9251	19.2599	19.0525	NaN	NaN	NaN	NaN	NaN	NaN	gmuE
20.7419	20.6413	20.7668	21.2346	21.2607	21.3532	20.7701	20.7453	20.8704	19.475	18.7566	19.4924	NaN	NaN	NaN	21.0649	21.2032	21.2294	tsaE
19.2477	19.2216	19.3352	20.5134	20.2969	19.9502	17.6558	18.2471	17.1335	18.7894	18.3431	18.1644	18.9043	19.755	18.7966	17.5152	16.9981	18.1237	tsaD
19.7054	19.7645	19.9058	19.7059	19.9726	20.2043	21.6305	22.0039	21.8265	19.744	19.6826	19.5155	NaN	NaN	NaN	NaN	NaN	NaN	tatAy
19.0657	19.2128	18.6693	NaN	NaN	NaN	20.4664	20.3865	19.4317	19.6038	19.8673	19.451	19.8169	19.9347	18.7121	NaN	NaN	NaN	yraA
14.3559	12.8045	14.9862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yfmR
16.4745	16.8523	16.6953	17.505	17.465	17.4888	19.6496	19.6104	19.6401	14.7794	15.1505	14.6642	NaN	NaN	NaN	NaN	NaN	NaN	yfmT
16.8944	17.4385	17.3185	19.7756	19.4522	19.5707	NaN	NaN	NaN	17.2457	17.5589	17.1519	NaN	NaN	NaN	NaN	NaN	NaN	yfnG
21.7302	21.6611	21.6235	21.8718	21.783	21.8184	21.7958	21.8172	21.8562	17.7069	17.3951	17.5576	21.2779	20.5014	20.8103	NaN	NaN	NaN	gatA
14.0457	12.9474	15.1769	19.5624	21.5533	19.9634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	gatC
16.0434	16.0441	16.1332	NaN	NaN	NaN	NaN	NaN	NaN	16.4891	16.7045	17.6068	NaN	NaN	NaN	NaN	NaN	NaN	yisK
19.8028	18.8306	19.8565	14.9528	15.2708	16.3834	19.9237	20.2029	19.1791	18.2732	18.0906	19.13	11.7646	12.8291	12.3468	12.5292	13.0642	12.1578	yitK
18.5052	18.8561	18.7778	18.3843	19.0627	19.9501	20.7318	20.702	20.7594	20.1083	19.419	20.4795	NaN	NaN	NaN	NaN	NaN	NaN	yitL
19.1875	18.9819	18.8703	NaN	NaN	NaN	19.6003	19.5557	19.5564	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yitQ
15.7388	15.703	17.3721	NaN	NaN	NaN	19.5627	19.2268	19.3631	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yvcI
17.0341	16.7233	17.2289	16.7587	16.6095	16.399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	mgfK
18.6146	21.1574	20.3445	21.422	20.7695	20.2004	21.1006	20.9286	21.1036	20.6382	20.3387	20.5661	NaN	NaN	NaN	NaN	NaN	NaN	whiA
14.0787	13.6543	14.3782	17.1336	16.9392	17.0026	NaN	NaN	NaN	16.0734	16.76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	mdxE
16.8937	17.2773	16.7115	18.4722	18.652	18.5017	18.7527	18.7434	18.6209	18.0689	18.1592	18.8137	NaN	NaN	NaN	16.072	16.2235	16.1177	yvdQ
19.4694	19.56	19.3306	14.1337	13.8571	13.8924	20.4577	20.5079	20.1429	NaN	NaN	NaN	16.1532	16.8823	17.2293	NaN	NaN	NaN	padC
14.8764	14.0329	15.2514	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ganR
14.509	16.2805	15.0878	17.1211	17.2263	17.0821	19.107	19.6174	19.5549	15.2466	15.6758	14.9795	16.475	18.0879	16.8555	NaN	NaN	NaN	lutB
19.0525	19.1221	18.9587	18.1441	18.2528	18.6927	19.137	18.895	18.9903	14.7197	13.3176	11.7341	17.5753	17.4983	17.4345	NaN	NaN	NaN	hit
21.1656	21.1871	20.6303	19.9765	20.0478	19.9526	19.998	20.5126	20.4893	19.8365	19.7568	20.0749	18.2857	19.5184	19.5413	12.3506	11.1706	12.697	yhaH
20.4412	20.0911	20.179	17.9157	17.9448	18.4495	19.3233	19.0782	18.4635	19.7411	19.2977	19.1444	16.9596	15.9768	16.4777	17.2897	16.7939	17.1518	yhaM
20.2283	20.4662	21.5144	18.8708	18.7187	19.4023	20.7965	20.97	21.0458	18.1679	18.3831	19.4363	NaN	NaN	NaN	NaN	NaN	NaN	yhaP
17.4504	18.5231	18.2636	19.1103	18.6747	18.5612	19.9769	19.6204	20.0296	NaN	NaN	NaN	15.7643	15.0658	16.6118	20.4793	22.5881	22.6357	yheA
17.6877	17.9176	18.2884	17.6891	17.542	17.9329	17.4964	19.0599	18.9909	NaN	NaN	NaN	16.685	17.8293	17.3707	NaN	NaN	NaN	yheB
19.1558	18.6711	18.6398	14.312	14.6767	14.092	17.6796	20.4991	18.7544	16.1389	16.2948	16.2192	17.1442	16.8765	16.6074	NaN	NaN	NaN	nhaX
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	sipV
15.7249	15.654	15.8984	NaN	NaN	NaN	NaN	NaN	NaN	15.3243	15.1747	15.883	NaN	NaN	NaN	NaN	NaN	NaN	yhjG
16.0292	15.7202	16.2131	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yhdF
18.4548	18.2367	18.4718	23.921	23.8806	23.8844	20.2123	20.3332	20.3081	18.6841	18.7198	19.942	NaN	NaN	NaN	NaN	NaN	NaN	plsC
17.9911	17.9713	18.2184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yhdR
14.4124	14.5101	14.7777	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yhdT
18.6235	18.6363	18.6956	NaN	NaN	NaN	19.7009	18.473	19.4281	16.0456	16.3357	16.7674	15.0626	15.1591	14.4475	NaN	NaN	NaN	yhdW
18.0462	18.1414	18.0768	NaN	NaN	NaN	18.1468	18.0501	18.089	NaN	NaN	NaN	17.8489	18.1912	17.9759	NaN	NaN	NaN	yhdX
18.4331	18.3933	18.6848	19.2648	18.8435	19.3341	20.1764	20.3085	20.2623	18.1045	18.7818	19.1218	20.2155	19.5363	20.4665	17.3768	17.4281	18.5486	dat
16.061	15.7657	15.8328	16.666	16.5616	16.7136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yhaA
22.1776	22.1234	21.965	20.7705	21.9172	21.2618	21.8826	21.8571	21.8411	19.2865	19.4215	19.9095	21.2817	21.2723	21.3227	NaN	NaN	NaN	lplJ
NaN	11.538	13.5181	18.4288	19.2987	19.4979	13.9978	13.8749	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yhfK
17.2783	17.4018	17.2509	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yhfP
19.1084	19.237	19.0779	19.2465	18.9145	18.7204	19.8446	19.6392	19.6243	17.09	17.1578	17.1253	17.9556	18.2106	18.1741	NaN	NaN	NaN	phoE
19.473	19.4539	19.3539	21.8481	21.8733	22.0314	20.3214	20.3253	20.3678	16.0874	15.8201	16.8847	19.5438	18.7381	19.4289	NaN	NaN	NaN	bipA
17.9495	18.469	18.2066	20.0361	19.6305	20.878	19.9108	20.1797	20.0624	19.2779	19.4718	19.5775	16.4219	17.4749	17.1651	NaN	NaN	NaN	ylaL
19.2027	19.0536	19.0597	20.2301	20.6971	18.5814	19.61	19.4434	19.3228	NaN	NaN	NaN	16.7721	18.1431	17.301	NaN	NaN	NaN	cypB
19.0708	18.5499	18.8444	21.6997	21.6956	21.8952	NaN	NaN	NaN	18.1392	18.1995	18.5873	NaN	NaN	NaN	18.3453	18.2933	18.6529	gatB
20.3262	18.8002	19.632	19.2582	20.4064	20.6803	NaN	NaN	NaN	17.8297	18.3182	18.4169	NaN	NaN	NaN	NaN	NaN	NaN	acoA
13.5447	13.0239	12.8604	8.70909	17.7111	17.248	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ybdO
21.7445	21.8464	21.5235	NaN	NaN	NaN	20.9519	21.0218	21.4414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	ybyB
17.9767	17.9796	18.2512	21.8666	21.4228	21.4426	21.4459	19.4869	19.38	21.9511	22.0071	21.7523	NaN	NaN	NaN	NaN	NaN	NaN	trhO
17.3435	17.4478	16.9277	18.584	18.637	18.5566	16.6951	16.313	16.1243	18.6	18.4132	18.2383	NaN	NaN	NaN	NaN	NaN	NaN	ycgT
20.2662	21.0852	21.7462	20.4963	20.9513	21.132	NaN	NaN	NaN	20.2087	20.7256	20.9903	24.2252	24.2437	24.1146	NaN	NaN	NaN	ydcI
19.0171	19.0358	18.8559	NaN	NaN	NaN	18.9405	19.0092	18.3595	17.1299	17.3581	17.8924	NaN	NaN	NaN	NaN	NaN	NaN	ligA
20.5096	20.9184	20.9078	22.4882	22.9464	22.8146	21.8244	21.7307	21.8388	19.6131	19.8375	18.3309	19.2741	19.9915	19.8062	NaN	NaN	NaN	swrC
17.287	17.4432	17.4362	18.5575	18.8275	19.3496	NaN	NaN	NaN	7.18171	11.6066	12.122	NaN	NaN	NaN	NaN	NaN	NaN	dnmA
15.6665	16.5091	NaN	15.562	16.1185	16.0207	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yeeI
19.3698	19.6321	20.3535	18.8513	19.5145	19.6715	21.4334	21.4965	21.7692	17.416	17.7817	17.939	19.5833	20.3116	20.2359	15.7015	15.668	16.1497	hmoA
16.4663	16.5113	16.5849	16.8243	17.9736	18.3721	NaN	NaN	NaN	17.759	18.1374	17.8087	NaN	NaN	NaN	NaN	NaN	NaN	dus2
16.0254	16.0394	15.8368	17.5766	18.3029	18.3361	17.6948	17.7782	17.5575	16.335	17.3255	17.074	NaN	NaN	NaN	NaN	NaN	NaN	acoC
18.6437	18.5068	18.5408	22.5934	22.2531	21.3173	20.5094	20.0394	19.6677	21.936	22.0569	22.0246	12.7452	16.8586	11.8372	NaN	NaN	NaN	yfiY
18.097	18.5477	18.2512	NaN	NaN	NaN	20.5161	20.2885	20.1189	16.9934	17.0201	16.9853	18.1115	17.9392	18.4574	NaN	NaN	NaN	yfhC
16.4652	16.284	16.0448	14.5574	14.3832	14.3221	16.7435	16.7073	16.4815	14.8919	15.2284	14.6609	15.4077	15.3114	15.1936	NaN	NaN	NaN	yfhH
18.3198	18.1031	18.0413	NaN	NaN	NaN	NaN	NaN	NaN	17.1069	17.2014	16.937	NaN	NaN	NaN	NaN	NaN	NaN	yfhO
15.252	15.3565	15.9636	14.4943	18.3307	15.3174	NaN	NaN	NaN	12.2464	10.7499	12.8317	NaN	NaN	NaN	NaN	NaN	NaN	mutY
16.9944	16.9493	16.8196	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yhbJ
19.2773	19.0155	19.0508	15.1632	11.4144	14.7684	19.609	19.6704	19.294	15.8239	14.7772	13.7789	17.98	19.1376	18.5935	NaN	NaN	NaN	yjbC
17.4465	17.727	18.071	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	spx
17.7859	17.3347	17.8694	18.4869	18.8471	18.7938	20.9623	21.2182	21.9299	16.5676	17.336	16.032	NaN	NaN	NaN	NaN	NaN	NaN	pepF
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	spxH
11.3792	14.1531	12.4052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	cwlQ
17.5769	18.1802	18.0204	15.2872	15.5667	15.3544	18.8981	18.5602	19.0832	16.8031	15.5647	16.6536	13.2653	14.288	13.4689	NaN	NaN	NaN	yjbL
NaN	NaN	NaN	16.9786	16.8734	16.6049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yjbM
17.3002	17.328	17.2917	21.9217	21.3526	21.0258	22.2494	22.332	21.8588	18.9042	18.8471	18.789	NaN	NaN	NaN	NaN	NaN	NaN	cotO
17.0135	16.239	17.0303	17.1027	14.2444	15.1901	15.8304	15.6176	15.1981	19.4367	19.2316	19.0299	14.205	13.8072	12.8657	10.8993	12.9203	12.7191	yjcF
23.2295	23.1829	23.0542	22.5257	22.3508	22.2342	23.1827	23.226	23.2161	21.7069	21.2057	21.1159	18.7208	18.5881	18.5793	NaN	NaN	NaN	yjcG
19.7576	18.8881	19.7174	20.0356	20.807	20.6276	20.2468	20.1385	20.2798	17.8032	19.2392	20.7262	18.6104	18.9072	18.3466	NaN	NaN	NaN	manP
16.0477	16.6409	16.6078	NaN	NaN	NaN	NaN	13.3587	14.3261	NaN	NaN	NaN	13.1689	14.1266	14.5961	NaN	NaN	NaN	manA
13.9236	14.6106	14.2271	15.7037	15.5756	15.3011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	yjdI
