PG.ProteinGroups	PG.Genes	[1] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_01.raw.PG.QValue (Run-Wise)	[2] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_02.raw.PG.QValue (Run-Wise)	[3] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_03.raw.PG.QValue (Run-Wise)	[4] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_01.raw.PG.QValue (Run-Wise)	[5] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_02.raw.PG.QValue (Run-Wise)	[6] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_03.raw.PG.QValue (Run-Wise)	[7] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_01.raw.PG.QValue (Run-Wise)	[8] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_02.raw.PG.QValue (Run-Wise)	[9] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_03.raw.PG.QValue (Run-Wise)	[10] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_01.raw.PG.QValue (Run-Wise)	[11] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_02.raw.PG.QValue (Run-Wise)	[12] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_03.raw.PG.QValue (Run-Wise)	[13] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_01.raw.PG.QValue (Run-Wise)	[14] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_02.raw.PG.QValue (Run-Wise)	[15] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_03.raw.PG.QValue (Run-Wise)	[16] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_01.raw.PG.QValue (Run-Wise)	[17] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_02.raw.PG.QValue (Run-Wise)	[18] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_03.raw.PG.QValue (Run-Wise)	[1] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_01.raw.PG.Quantity	[2] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_02.raw.PG.Quantity	[3] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_hs_03.raw.PG.Quantity	[4] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_01.raw.PG.Quantity	[5] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_02.raw.PG.Quantity	[6] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dMscB_BS_st_03.raw.PG.Quantity	[7] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_01.raw.PG.Quantity	[8] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_02.raw.PG.Quantity	[9] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_hs_03.raw.PG.Quantity	[10] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_01.raw.PG.Quantity	[11] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_02.raw.PG.Quantity	[12] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_dYwIE_BS_st_03.raw.PG.Quantity	[13] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_01.raw.PG.Quantity	[14] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_02.raw.PG.Quantity	[15] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_hs_03.raw.PG.Quantity	[16] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_01.raw.PG.Quantity	[17] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_02.raw.PG.Quantity	[18] 20251128_A2_N1_Ledolter_Clausen_IMP_THIDTC005_wt168_BS_st_03.raw.PG.Quantity
O34607	sdaAA	5.8286117906299095E-05	1.875236008753329E-42	0.0001511885839815092	6.482360795422023E-29	3.7760301845873225E-05	5.683278441983981E-05	6.375065753105827E-24	0.0003854932310871279	0.0034187260994638876	0.000768926999790447	0.0014262585200876614	0.002981650417760001	0.007254188989807463	0.0032033290678709575	0.008410674179031456	0.3837064208267562	0.4297661599820864	0.33959075796434846	675484.75	495096.375	613285.5625	415416.15625	224932.15625	279309.65625	296560.1875	271063.5625	730797.9375	25554.466796875	60466.68359375	59159.0078125	251712.4375	276266.625	422260.40625	NaN	NaN	NaN
O34612	yjlB	0.00029232265605078447	6.207578965544187E-31	0.00037524632205150995	0.009065843776435783	0.005230418390319799	0.008547436555670224	0.00018945689366431403	0.0008733594823103424	0.0007741887244713996	0.11502736284290468	0.11130547336032164	0.02707353744878385	0.028501421516456574	0.16657941022433745	0.1641507924589803	0.04274869983747214	0.33595908734493835	0.25573611640932276	72091.0390625	97000.6484375	86457.3515625	NaN	NaN	NaN	15282.8486328125	17155.431640625	10686.1455078125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O34617	rlmN	1.6254009999027886E-65	9.148483772699845E-12	2.277581094745098E-06	7.374632767030551E-16	4.1345554930311705E-11	7.812954512167893E-13	1.244248691159685E-162	2.639937508863043E-11	2.5878463816965986E-51	2.6962401938481256E-29	4.3291734056297105E-06	1.6333081469060425E-05	0.0003040353170230511	0.0006047173452529492	9.482239850356532E-08	9.891342449557707E-07	5.904692894590996E-10	0.004245949680623966	807463.4375	743594.75	667149.8125	867536.1875	775097.875	661010.375	369924.75	347354.25	376418.875	655010.5625	744164.8125	543135.3125	524151.25	442806.09375	419067.125	520737	370265.5625	NaN
O34623	dnaE	3.6713500491580637E-10	8.186150274528872E-41	1.1697272386789228E-22	0.006522025645275322	0.039482279928961715	0.007327121876040036	0.008697868700036922	0.0008218412217184009	0.0006341390081389292	0.12725942073403126	0.062091153316981645	0.10654123563589768	0.016084411809842068	0.007050663180258177	0.004009557305804563	0.059408723415354504	0.1568171972020373	0.37282172737809255	10047.212890625	31413.8046875	29386.40234375	NaN	NaN	19.408987045288086	NaN	197011.15625	59459.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O34628	yvlB	3.590409345450203E-49	4.872351768773041E-50	6.395736182531684E-05	2.718789492417743E-08	3.644028455870909E-142	2.690494330683867E-07	2.8073966027435117E-27	6.58614818095318E-30	3.785794957326833E-22	1.005151124851237E-20	0.00028691492864641057	0.0005231754613090842	4.767429185518001E-15	0.0007998457060871582	5.610618510913727E-73	0.30642799565916345	0.33881446252008446	0.15694988786296007	138132.890625	237825.3125	308072.75	89085.640625	86871.9296875	66708.4140625	247002.046875	347748.5625	408874.8125	124106.0078125	156819.75	124715.0390625	133865.28125	106427.84375	103763.5390625	NaN	NaN	NaN
O34629	yerH	6.715242884966288E-05	1.597217642618333E-43	0.00013251577279438	1.4682091506798943E-117	5.915962983166363E-14	6.575067522408313E-05	5.4113065195726975E-33	1.1416126486678637E-16	7.504883671897417E-07	4.262036602827504E-24	0.001069413366196047	0.00390631095228629	3.982813852450051E-05	4.1212571004054414E-33	7.464716599012867E-10	0.010578848883292816	0.0061933589898041	0.013128916315203737	563353.0625	621010.5625	783376.625	247061.875	233620.609375	389473.9375	391621.25	479931.46875	505653.6875	495706.8125	869306.5	1054391.875	438246.1875	417348.9375	292329.71875	541483.9375	870170.9375	383341.71875
O34631	yvrA	0.0010431005061056673	0.00031050844596012823	0.0008935122943272085	1.0161398089267952E-05	2.7935763613683305E-05	2.3874857200973705E-05	0.0007118328465151153	0.0011922869790407095	0.0025741534791165954	0.0007983537213797929	0.0014070159118158775	0.004811023960619887	0.005679381336604819	0.014612494615331921	0.0026322525429133196	0.04393683401942956	0.013372899364524713	0.008718366188490185	NaN	NaN	NaN	249732.46875	270443.3125	210701.953125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
O34633	yjlC	1.575203271648443E-61	1.4856649372649948E-09	0.00010488658044438511	7.461877000122136E-20	5.626506889163434E-06	0.0001248452558831131	2.6962602455526776E-20	3.399522033565769E-39	8.202820691635161E-22	1.4901708357261242E-05	0.001345124903117788	0.0031213874613357446	0.0005799217502867027	0.001353470244327905	1.5221748811036373E-06	0.12138353783123641	0.32375818175098703	0.2986632295733604	151687.40625	108428.265625	158850.65625	291636.28125	356030.8125	374867.09375	270009.15625	162485.609375	236704.25	27571.396484375	78566.9765625	161398.609375	111328.9140625	38837.67578125	30872.353515625	NaN	NaN	NaN
O34635	sdaAB	1.995425449671162E-18	4.13092818392491E-42	8.980920162638393E-05	7.061613863556896E-09	1.8937431450541098E-05	4.383866397663044E-05	7.352473832513184E-05	0.00020753775873107587	0.0004404271954361962	1.648432596234684E-27	0.0009347165005091211	0.002028688680736371	0.001323486467595207	0.0008945673413102408	0.00701972497799967	0.025412778232890215	0.06736726732494923	0.09419462023137877	334547.125	415217.125	303310.03125	207195.265625	136931.796875	73329.9453125	230783.6875	167910.59375	111568.9765625	463796.34375	405974.28125	92279.671875	34626.28125	165990.796875	NaN	NaN	NaN	NaN
O34656	cotI	3.199210197480405E-12	3.53478906737014E-52	0.00014702103625287492	2.0773015712785955E-14	0.00326109012158007	0.0005178052300292392	0.0001273294122371262	1.0860453031313778E-05	5.735231798809835E-38	0.0002755247491477547	8.630872251040917E-06	1.1260041079779878E-05	0.0012462399956906392	0.000895052873583639	0.007789932593362406	0.007430536906251525	0.05676413554010841	0.006156003959317812	239043.296875	236067.609375	215728.625	304888.5	NaN	605247.4375	109965.6015625	111607.6875	108321.546875	314730.15625	285853.15625	213488.28125	905634.125	506788.5	NaN	NaN	NaN	NaN
